T,Lon,Lat,Y1,Y2,Y3,X1,X2,X3,X4,X5,X6,X7,X8
2011,15.2,45.1,0.66605072,19.313,63169.91,21.62705171,27.16,34.31491673,366,0.025652396,76.48884997,1.495146503,55.322
2011,24.603189,56.879635,0.58521672,7.87,27474.38,20.7232552,35.54,54.25271988,325,0.045729258,33.09992447,1.613723403,67.869
2011,23.881275,55.169438,0.6289829,12.226,43535.05,28.07874901,22.74,34.67785685,142,0.032679608,48.31533012,1.57339523,66.741
2011,6.129583,49.815273,1.04945,11.24,61696.28,10.70843828,3.76,34.45382721,2351,0.030865388,201.342029,0.791313787,88.906
2011,24.96676,45.943161,0.52263396,85.39,183326.74,38.69547473,21.1,28.64053526,1599,0.024000985,87.53324934,2.229218171,53.96
2011,14.375416,35.937496,1.0006963,2.572,9638.92,16.33787789,1.97,1.09375,278,0.330048875,1300.8375,2.996597025,94.141
2011,28.369885,47.411631,0.43589471,4.231,8414.35,20.91072043,20.37,11.47275495,193,0.013110811,99.72109318,3.933865361,42.589
2011,-8.224454,39.399872,0.80540078,50.016,245117.99,19.34496804,27.22,35.63707828,1022,0.016168647,115.2697893,1.187328519,61.167
2011,21.005859,44.016521,0.50113611,50.715,49258.14,26.66111078,17.44,31.03482735,243,0.00962774,82.7132289,4.116559212,55.215
2011,33.429859,35.126413,0.80769012,7.547,27565.47,12.76164616,7.6,18.70281385,352,0.041706759,123.9270563,1.223456012,67.406
2011,19.699024,48.669026,0.607274,35.022,99492.92,30.4619221,10.36,39.8993096,444,0.060003727,112.2605224,1.986989124,54.42
2011,14.995463,46.151241,0.59697268,16.197,51583.87,26.80882794,19.14,61.90807108,1134,0.036395328,101.8982925,1.631033499,52.883
2011,31.16558,48.379433,0.41119199,290.855,169333.05,24.83912427,2.74,16.5190223,3318,0.06147381,78.89609542,8.709134454,68.689
2011,21.824312,39.074208,1.0524102,84.429,282995.94,14.3771178,11.38,30.27,1203,0.015205077,86.1512723,1.311978363,76.649
2011,19.503304,47.162494,0.64073069,49.01,141999.96,25.09390433,14.74,22.63642991,1717,0.065198884,110.1483155,1.897634056,69.358
2011,12.56738,41.87194,1.4898548,402.895,2294994.3,21.74970363,11.9,30.71117754,28357,0.022339694,200.797547,0.870552228,68.444
2011,-59.543198,13.193887,0.60031781,0.874,4657.7,14.51177727,3.12,14.65116279,420,0.032327221,640.6651163,1.661410932,31.7
2011,-61.370976,15.414999,0.63311676,18.825,58029.75,28.39554288,16.75,43.03924653,25,0.021614215,205.0038708,1.488856319,74.827
2011,-83.753428,9.748917,0.81747505,6.992,42762.62,22.58987067,38.02,56.55240893,36,0.11057678,91.65542499,1.280782375,72.868
2011,-77.781167,21.521757,0.83507292,27.163,68990,22.2582983,19.2,27.90863068,166,0.028231553,105.7307955,1.736503696,76.689
2011,-86.241905,15.199999,0.40019408,10.288,17710.32,25.81421601,50.92,58.56771829,2,0.032102,77.06232907,2.145453047,52.543
2011,-85.207229,12.865416,0.48070402,4.644,9774.31,23.15746731,53.3,34.33626392,2,0.045670616,49.38136114,2.33175815,57.113
2011,-88.89653,13.794185,0.65601569,6.897,20283.78,26.19541328,29.52,30.13416988,0,0.022499208,296.2041023,1.836150363,66.325
2011,-77.297508,18.109581,0.41775053,9.925,14444.66,18.24902354,9.84,51.91615882,25,0.025953114,253.5705448,2.405421796,53.93
2011,-63.616672,-38.416097,0.72425037,159.631,530163.28,25.21269761,8.83,10.9587129,1027,0.027839228,15.0771516,1.714737769,90.99
2011,-75.015152,-9.189967,0.62617771,45.838,171761.74,37.23610028,30.63,57.71777031,77,0.072833392,23.02946953,1.447098056,76.617
